IsInstruction,Rating,RT,Response,TrialName,TrialOrder,condition,dot,inertia,num_observations,num_targets,scene,sigma_v,sigma_w,sigma_x,spring,ID
False,20,12211,False,86_7.mp4,81,0,7.0,0.8,8.0,4.0,86.0,2.2,2.0714285714285716,120.5,0.0011428571428571427,Participant_88
False,98,13167,True,72_1.mp4,82,0,1.0,0.8,8.0,4.0,72.0,2.2,1.857142857142857,120.5,0.0013571428571428571,Participant_88
False,94,13533,True,51_4.mp4,83,0,4.0,0.8,8.0,4.0,51.0,2.2,1.6428571428571428,120.5,0.0007142857142857143,Participant_88
False,22,14225,False,77_6.mp4,84,0,6.0,0.8,8.0,4.0,77.0,2.2,1.857142857142857,120.5,0.0017857142857142857,Participant_88
False,20,12764,False,62_7.mp4,85,0,7.0,0.8,8.0,4.0,62.0,2.2,1.6428571428571428,120.5,0.002,Participant_88
False,99,20854,True,63_8.mp4,86,0,8.0,0.8,8.0,4.0,63.0,2.2,1.6428571428571428,120.5,0.002,Participant_88
False,100,14333,True,122_3.mp4,87,0,3.0,0.8,8.0,4.0,122.0,2.2,2.5,120.5,0.0015714285714285715,Participant_88
False,11,12494,True,17_2.mp4,88,0,2.0,0.8,8.0,4.0,17.0,2.2,1.2142857142857144,120.5,0.0005,Participant_88
False,100,13354,False,10_3.mp4,89,0,3.0,0.8,8.0,4.0,10.0,2.2,1.0,120.5,0.0015714285714285715,Participant_88
False,16,12838,False,20_5.mp4,90,0,5.0,0.8,8.0,4.0,20.0,2.2,1.2142857142857144,120.5,0.0009285714285714286,Participant_88
False,99,22874,True,114_3.mp4,91,0,3.0,0.8,8.0,4.0,114.0,2.2,2.5,120.5,0.0007142857142857143,Participant_88
False,94,12433,True,24_1.mp4,92,0,1.0,0.8,8.0,4.0,24.0,2.2,1.2142857142857144,120.5,0.0013571428571428571,Participant_88
False,20,12874,False,92_5.mp4,93,0,5.0,0.8,8.0,4.0,92.0,2.2,2.0714285714285716,120.5,0.0017857142857142857,Participant_88
False,6,12190,True,0_1.mp4,94,0,1.0,0.8,8.0,4.0,0.0,2.2,1.0,120.5,0.0005,Participant_88
False,16,12126,False,91_4.mp4,95,0,4.0,0.8,8.0,4.0,91.0,2.2,2.0714285714285716,120.5,0.0015714285714285715,Participant_88
False,98,13510,True,36_5.mp4,96,0,5.0,0.8,8.0,4.0,36.0,2.2,1.4285714285714284,120.5,0.0009285714285714286,Participant_88
False,25,12221,True,49_2.mp4,97,0,2.0,0.8,8.0,4.0,49.0,2.2,1.6428571428571428,120.5,0.0005,Participant_88
False,88,13091,False,67_4.mp4,98,0,4.0,0.8,8.0,4.0,67.0,2.2,1.857142857142857,120.5,0.0007142857142857143,Participant_88
False,14,12373,False,21_6.mp4,99,0,6.0,0.8,8.0,4.0,21.0,2.2,1.2142857142857144,120.5,0.0009285714285714286,Participant_88
False,78,13531,False,111_8.mp4,100,0,8.0,0.8,8.0,4.0,111.0,2.2,2.2857142857142856,120.5,0.002,Participant_88
False,20,12185,False,15_8.mp4,101,0,8.0,0.8,8.0,4.0,15.0,2.2,1.0,120.5,0.002,Participant_88
False,98,12229,True,42_3.mp4,102,0,3.0,0.8,8.0,4.0,42.0,2.2,1.4285714285714284,120.5,0.0015714285714285715,Participant_88
False,30,14880,True,107_4.mp4,103,0,4.0,0.8,8.0,4.0,107.0,2.2,2.2857142857142856,120.5,0.0015714285714285715,Participant_88
False,86,12250,True,100_5.mp4,104,0,5.0,0.8,8.0,4.0,100.0,2.2,2.2857142857142856,120.5,0.0009285714285714286,Participant_88
False,92,13277,True,47_8.mp4,105,0,8.0,0.8,8.0,4.0,47.0,2.2,1.4285714285714284,120.5,0.002,Participant_88
False,95,12751,True,43_4.mp4,106,0,4.0,0.8,8.0,4.0,43.0,2.2,1.4285714285714284,120.5,0.0015714285714285715,Participant_88
False,21,13726,False,29_6.mp4,107,0,6.0,0.8,8.0,4.0,29.0,2.2,1.2142857142857144,120.5,0.0017857142857142857,Participant_88
False,96,12869,False,14_7.mp4,108,0,7.0,0.8,8.0,4.0,14.0,2.2,1.0,120.5,0.002,Participant_88
False,88,12569,True,71_8.mp4,109,0,8.0,0.8,8.0,4.0,71.0,2.2,1.857142857142857,120.5,0.0011428571428571427,Participant_88
False,44,14731,True,26_3.mp4,110,0,3.0,0.8,8.0,4.0,26.0,2.2,1.2142857142857144,120.5,0.0015714285714285715,Participant_88
False,91,12605,True,90_3.mp4,111,0,3.0,0.8,8.0,4.0,90.0,2.2,2.0714285714285716,120.5,0.0015714285714285715,Participant_88
False,25,12845,False,46_7.mp4,112,0,7.0,0.8,8.0,4.0,46.0,2.2,1.4285714285714284,120.5,0.002,Participant_88
False,94,13599,False,101_6.mp4,113,0,6.0,0.8,8.0,4.0,101.0,2.2,2.2857142857142856,120.5,0.0009285714285714286,Participant_88
